gene,betahat_d0,betahat_d1,betahat_d2,betahat_d3,se_d0,se_d1,se_d2,se_d3,postmean_d0,postsd_d0,lfsr_d0,postmean_d1,postsd_d1,lfsr_d1,postmean_d2,postsd_d2,lfsr_d2,postmean_d3,postsd_d3,lfsr_d3,lfsr_min,best_day,plarge_d0,plarge_d1,plarge_d2,plarge_d3,active_days,n_active_days,min_lfsr_among_active,best_day_among_active,max_abs_postmean,active_days_any,n_any_active,hit_anyday
Gene64,-0.008842251,0.03132635,-0.028518898,0.002628346,0.011005304,0.021336753,0.030349096,0.03928967,-0.006520049783815,0.0096462571187591,0.294333550415818,0.0310756409356224,0.0151280085062442,0.0221696699160967,-0.0187426733281327,0.0204845904855209,0.225402272559832,0.0048970048706448,0.0237301143027269,0.459476817057201,0.0221696699160967,1,0.0,0.0,0.0,1.1102230246251565e-16,,0,inf,,0.0310756409356224,,0,False
Gene85,0.030263502,0.024220662,-0.0124351615,0.008466654,0.010147098,0.02147847,0.030462014,0.040699597,0.0306315603696188,0.009782277159177,0.0008528962703328,0.0246861237794465,0.0153022192862452,0.0526343942756538,-0.0055514595871945,0.0205435974446185,0.392388076509838,0.0121008431720285,0.0250830758974768,0.315513199464689,0.0008528962703328,0,0.0,0.0,0.0,3.419486915845482e-14,,0,inf,,0.0306315603696188,,0,False
Gene88,0.043073855,0.045421667,0.045916572,0.050707623,0.010571435,0.022006817,0.030095514,0.04005913,0.0292546555977432,0.009891073144512,0.0017880172719547,0.0227682130644841,0.015792164370613,0.0743209905894133,0.0160573093158811,0.0204973409278931,0.21742543096672,0.0124154816084831,0.0250545223643583,0.311253789516419,0.0017880172719547,0,0.0,0.0,0.0,3.519406988061746e-14,,0,inf,,0.0292546555977432,,0,False
Gene54,0.014025155,-0.032099463,-0.048235953,-0.04313689,0.01141271,0.021603009,0.030436134,0.037610013,0.0289292819621996,0.0100147911808881,0.0020307251146085,-0.0050900233666567,0.0157532687381819,0.372146461703124,-0.008755632846428,0.0209645172087165,0.33692581049571,0.0024625261379979,0.0243634339695269,0.460124056195684,0.0020307251146085,0,0.0,0.0,0.0,2.220446049250313e-16,,0,inf,,0.0289292819621996,,0,False
Gene39,0.014589979,0.05923979,0.08423893,0.054209385,0.010426829,0.022806853,0.032458488,0.041184813,-0.0052139681154215,0.0095603948648022,0.295167057124554,0.0223103726012944,0.0158415961165751,0.081092315477282,0.0287798610959143,0.0211630124796626,0.0896421732738232,-0.003777889866743,0.0247467697513685,0.440837475615626,0.081092315477282,1,0.0,0.0,3.3306690738754696e-16,1.2212453270876722e-15,,0,inf,,0.0287798610959143,,0,False
Gene40,0.036892004,0.021665907,0.012734816,0.048483122,0.010982167,0.022379424,0.031041067,0.03994349,0.0275842720079003,0.0097806178056451,0.0023611465790407,0.0076695967455359,0.0158756429162028,0.315289443705554,-0.0037403046394861,0.020811282319981,0.427237248209733,0.0192125582900671,0.0247635825748327,0.218901244258606,0.0023611465790407,0,0.0,0.0,0.0,1.433297924791077e-13,,0,inf,,0.0275842720079003,,0,False
Gene6,0.00072450435,-0.03813669,-0.043254655,0.0057357145,0.010620999,0.021515733,0.02967814,0.03868568,0.0055053178477222,0.0099612125960015,0.289811081559407,-0.0271558333061497,0.0155911789672521,0.0404048165820431,-0.0268949179693259,0.0204305107924181,0.0939203373556925,0.0135855555600863,0.0247161813774242,0.290733547985181,0.0404048165820431,1,0.0,0.0,0.0,2.3092638912203256e-14,,0,inf,,0.0271558333061497,,0,False
Gene20,0.01956153,0.02996611,0.06644186,0.031737503,0.011026279,0.021615883,0.030268379,0.04144971,0.0055851626358375,0.0091401261265427,0.381564386715005,0.0074750620592436,0.0142227785215377,0.407204586245803,0.0263899697053194,0.0219430133812769,0.221006798014563,-0.0028292796858606,0.0230763162327195,0.542341412587922,0.221006798014563,2,0.0,0.0,1.2212453270876722e-15,0.0,,0,inf,,0.0263899697053194,,0,False
Gene91,0.017143438,-0.012530801,-0.01001838,-0.037082836,0.009843702,0.020457057,0.029973798,0.039681114,0.0259401759149761,0.0098790010913791,0.0043476202707594,0.0027322040827868,0.0147900206671243,0.427735540853284,0.0108017834817661,0.020403641949959,0.298479243275951,-0.0040003007942862,0.024880851875587,0.434938411010187,0.0043476202707594,0,0.0,0.0,0.0,1.7763568394002505e-15,,0,inf,,0.0259401759149761,,0,False
Gene65,0.020339793,0.04667835,0.051421225,0.024529882,0.010804598,0.021999083,0.030075861,0.039603345,0.0086252760755548,0.0098079527304473,0.257559186210708,0.0244273473356634,0.0168774752357507,0.130207094762277,0.0215954506760942,0.0207762789430904,0.216857445982463,-0.0028716976906436,0.0245973784652997,0.502171636270032,0.130207094762277,1,0.0,0.0,0.0,6.661338147750939e-16,,0,inf,,0.0244273473356634,,0,False
Gene5,0.020376518,-0.0010882483,0.002065402,-0.019428223,0.01064984,0.02308286,0.03227067,0.04244321,0.0243419522102427,0.0095053429489432,0.005729316748608,0.0072179945121471,0.0158350634542564,0.325267972214134,0.0123959847257642,0.0207999032102124,0.276268530841553,-0.0004087133943966,0.025035680886459,0.492582502806538,0.005729316748608,0,0.0,0.0,0.0,1.3322676295501878e-15,,0,inf,,0.0243419522102427,,0,False
